term;term.soort;term.status;bron;term.nummer;scope_note
gietijzer;materiaal;descriptor;http://vocab.getty.edu/aat/;300011004;""
buffel;dier;descriptor;http://vocab.getty.edu/aat/;300250108;""
Velzeke;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008821;""
drukblok;objectnaam;non-descriptor;"";"";""
olieverf;materiaal;descriptor;http://vocab.getty.edu/aat/;300015050;""
bandhaak;objectnaam;non-descriptor;"";"";""
Bradford;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7010443;""
Risquons Tout;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7255314;""
haagschaar;objectnaam;non-descriptor;"";"";""
filterzak;objectnaam;niet gedefinieerd;AAT;"";Zakjes voor het filtreren van koffie.
gifspuit;objectnaam;non-descriptor;"";"";""
celluloïd;materiaal;descriptor;http://vocab.getty.edu/aat/;300014447;""
dokter;beroep$rol$onderwerp;niet gedefinieerd;"";"";""
afwasmachine;objectnaam;non-descriptor;"";"";""
Bukarest;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7001804;""
greppelhouw;objectnaam;non-descriptor;"";"";""
kaas;onderwerp;niet gedefinieerd;"";"";""
boommes;objectnaam;non-descriptor;"";"";""
juwelen;objectcategorie$onderwerp;non-descriptor;"";"";""
vel;materiaal;niet gedefinieerd;"";"";""
nikkel;materiaal;descriptor;http://vocab.getty.edu/aat/;300011028;""
was;materiaal;descriptor;http://vocab.getty.edu/aat/;300014585;""
pels;materiaal;descriptor;http://vocab.getty.edu/aat/;300193371;""
leer;materiaal$onderwerp$objectnaam;descriptor;http://vocab.getty.edu/aat/;300011845;""
fretboor;objectnaam;niet gedefinieerd;Van Dale;"";Dunne schroefboor met scherpe schroefdraden. Schroefvormig uiteinde van sommige boorijzers.
Marseille;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7008781;""
Leupegem;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7244647;""
dessertcoupe;objectnaam;descriptor;http://vocab.getty.edu/aat/;300201864;Benaming voor glazen serveerschalen voor verschillende soorten desserts, voor individueel gebruik. In de 18e eeuw werd de term ook gebruikt voor grote glazen houders voor het serveren van zoetigheden en fruit.
mijnwerker;onderwerp;niet gedefinieerd;"";"";""
platenmuziekdoos;objectnaam;niet gedefinieerd;MIM;"";""
Gouvieux;geografisch trefwoord;niet gedefinieerd;"";"";""
Armentières;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1031853;""
socialisme;onderwerp;descriptor;https://www.wikidata.org/entity/;Q7272;""
Ense-Niederense;geografisch trefwoord;niet gedefinieerd;"";"";""
slegge;objectnaam;niet gedefinieerd;MOT;"";"Zware (tot 5 kg) houten hamer met lange steel (70-100 cm) om palen in de grond te slaan, hout te kloven, een dikke pen in een gat te drijven enz.

De slegge kan uit een ruw stuk hout vervaardigd zijn of beslagen zijn met een metalen band. Ze wordt zo mogelijk uit een kwasterig stuk gemaakt.

"
lichaam;onderwerp;niet gedefinieerd;"";"";""
damast;materiaal;descriptor;http://vocab.getty.edu/aat/;300163295;""
borstelmaker;rol;niet gedefinieerd;"";"";""
aardewerk;materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300140803;""
pauk;objectnaam;niet gedefinieerd;"";"";""
metaal;materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300010900;""
toverlantaarnplaat;objectnaam;non-descriptor;"";"";""
LB.VAR;CLASS;niet gedefinieerd;"";"";""
vilt;materiaal;descriptor;http://vocab.getty.edu/aat/;300014107;""
signatuur;soort opschrift;descriptor;http://vocab.getty.edu/aat/;300028705;""
leraar;onderwerp$beroep;niet gedefinieerd;"";"";""
kleefband;materiaal;niet gedefinieerd;"";"";""
veer;materiaal;descriptor;http://vocab.getty.edu/aat/;300400474;De onderdelen van het kleed en de vleugels van alle moderne vogels en sommige dinosauriërs. Veren hebben zich waarschijnlijk ontwikkeld uit de schubben van voorouderlijke reptielen. Er bestaan veel verschillende soorten veren, die bijvoorbeeld worden gebruikt als isolatie, om te vliegen, voor het vormen van lichaamscontouren, als vertoon of zintuiglijke ervaring. Doorgaans bestaat een veer uit een centrale schacht (rachis) met rijen gepaarde vertakkingen (baarden) die een vlak, vaak gekromd oppervlak vormen (de vlaggen). De baarden hebben zelf nog verdere vertakkingen, kleine baardjes. 
bombardon;objectnaam;niet gedefinieerd;"";"";""
mahoniehout;materiaal;descriptor;http://vocab.getty.edu/aat/;300012221;""
smeedwerk;objectnaam;niet gedefinieerd;Van Dale;"";Werk dat in smeden bestaat, werkstuk door smeden verkregen.
snorrenkop;objectnaam;descriptor;http://vocab.getty.edu/aat/;300043209;Koppen die achter de rand een bruggetje hebben om de snor te beschermen tijdens het drinken. Ingevoerd in de 19e eeuw.
West-Vlaanderen;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7003458;""
inktrol;objectnaam;non-descriptor;"";"";""
ambacht/hoedenmaker;collectie;niet gedefinieerd;"";"";""
stofzuiger;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300246010;Elektrische apparaten die door middel van zuigkracht voorwerpen of oppervlakken schoonmaken.
huisschilder;onderwerp;descriptor;http://vocab.getty.edu/aat/;300236851;Zij die een laag verf aanbrengen op de oppervlakte van zaken als muren, meubels of voertuigen.
fabricant;rol;non-descriptor;"";"";""
maatkan;objectnaam;descriptor;http://vocab.getty.edu/aat/;300198982;Houders met schaalverdeling voor het afmeten van vloeistoffen, bekervormig.
taille;afmeting;niet gedefinieerd;"";"";""
goochelfles;objectnaam;niet gedefinieerd;HvA;"";Fles gebruikt voor verschillende goocheltoeren.
groentesnijder;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300200161;De term is in het algemeen van toepassing op het keukengerei dat wordt gebruikt voor het snijden van groenten.
knikker;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300211125;Kleine balletjes van verschillende materialen, bijvoorbeeld glas, klei, agaat of porselein, die worden gebruikt voor diverse spelletjes.
struisvogelei;objectnaam;niet gedefinieerd;HvA;"";Ei van een struisvogel.
juwelenkist;objectnaam;non-descriptor;"";"";""
weeshuis;onderwerp;niet gedefinieerd;Van Dale;"";Tehuis ter verzorging van wezen.
juk;objectnaam;niet gedefinieerd;Van Dale;"";Houten blok met om de nek sluitende uithollingen om er een paar ossen of andere trekdieren mee voor ploeg of wagen te spannen. Schouderblok met twee uitstekende armen om er iets bv. twee emmers of manden aan te dragen.
rookwaren;collectie$$onderwerp;niet gedefinieerd;"";"";""
Jezus;onderwerp;niet gedefinieerd;"";"";""
omtrek;afmeting;descriptor;http://vocab.getty.edu/aat/;300055623;""
verzilverd glas;materiaal;niet gedefinieerd;"";"";""
internaat;onderwerp;niet gedefinieerd;"";"";""
houtwormbehandeling;behandeling;niet gedefinieerd;"";"";""
Buggenhout;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1026361;""
Gargantua;onderwerp;niet gedefinieerd;"";"";""
hoedenmal;objectnaam;non-descriptor;"";"";""
piccolofluit;objectnaam;non-descriptor;"";"";""
Mariakerke (Gent);geografisch trefwoord$plaats;descriptor;https://id.erfgoed.net/themas/$http://vocab.getty.edu/tgn/;14009$7251602;""
polychromie;techniek;niet gedefinieerd;"";"";""
jute;materiaal;descriptor;http://vocab.getty.edu/aat/;300014076;""
Geraardsbergen;plaats$geografisch trefwoord$onderwerp;descriptor;http://vocab.getty.edu/tgn/;7007888;""
wol;materiaal;descriptor;http://vocab.getty.edu/aat/;300243430;""
waaier;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300258857;"Draagbare uitrusting die wordt gebruikt voor het produceren van een luchtstroom of die uitsluitend dient als decoratieve accessoire. Kan zowel onbuigbaar als inklapbaar zijn. (AAT)
Uitklapbaar, halfcirkelvormig schermpje om koelte toe te waaien. (Van Dale)"
letterhaak;objectnaam;non-descriptor;"";"";""
merklap;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300264072;Textielwerken, meestal van fijne stof, waarop door vrouwen en meisjes in verschillende steken is geborduurd en die bedoeld zijn om in te lijsten. Ze werden doorgaans gemaakt door beginnelingen om hun vaardigheden te tonen. Kenmerkend zijn een combinatie van steken, motieven, letters en verzen, en vaak de voltooiingsdatum en de naam van de borduurster.
bierafschuimer;objectnaam;niet gedefinieerd;AAT;"";Spatel waarmee men het schuim van een glas bier verwijderd.
trom;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300041729;"Slaginstrumenten, bestaande uit een resonerende holte, aan één of aan beide uiteinden bedekt met vel; bespeeld door erop te slaan, te wrijven, te tokkelen. "
vlinder;dier$onderwerp;descriptor;http://vocab.getty.edu/aat/;300417320;""
pluim;materiaal$objectnaam;descriptor;http://vocab.getty.edu/aat/;300203648;Ornamenten gemaakt van veren, zijde, haar of andere betrekkelijk fijne materialen, die worden gedragen of getoond als versiering of als symbool van aanzien of rang.
ijzer;materiaal;descriptor;http://vocab.getty.edu/aat/;300011002;""
pomp;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300024787;Apparaten of machines die vloeistoffen samenpersen en verplaatsen, meestal door middel van druk, zuigkracht of beide.
LC.MODE.KANT;CLASS;niet gedefinieerd;"";"";""
stro;materiaal;descriptor;http://vocab.getty.edu/aat/;300011908;""
pottenbakker;rol$onderwerp;niet gedefinieerd;"";"";""
boekbinder;onderwerp;descriptor;http://vocab.getty.edu/aat/;300025704;Personen die boeken inbinden, hetgeen inhoudt dat diverse procedures handmatig of met machines worden uitgevoerd om blz. of verzamelingen losse bladen samen te voegen, meestal met een omslag.
huid;materiaal;descriptor;http://vocab.getty.edu/aat/;300011840;""
keten;objectnaam;non-descriptor;"";"";""
olmenhout;materiaal;non-descriptor;"";"";""
wasknijper;objectnaam;descriptor;http://vocab.getty.edu/aat/;300395627;Verschillende soorten knijpers voor het bevestigen van gewassen wasgoed aan een was-of waslijn. Bestaat uit twee delen die zijn verbonden met een voorgespannen veer. De pen wordt geopend door de uitstaande uiteinden samen te knijpen.
stop;objectnaam$inscriptie positie;descriptor;http://vocab.getty.edu/aat/;300045717;Een type afsluiting dat een opening opvult.
smeedijzer;materiaal;descriptor;http://vocab.getty.edu/aat/;300011012;""
papier-maché;materiaal;descriptor;http://vocab.getty.edu/aat/;300014245;""
schmink;objectnaam;niet gedefinieerd;Van Dale;"";Grimeersel.
nierbekken;objectnaam;niet gedefinieerd;Van Dale;"";"Vaak op een nierbekken lijkend schaaltje
Een nierbekken kan gebruikt worden worden voor diverse toepassingen. Bijvoorbeeld voor het bij de hand hebben van materialen voor het aanprikken, voor de opvang van diverse lichaamsvochten of als scheerbekken."
artiest;rol;descriptor;http://vocab.getty.edu/aat/;300068931;""
teerling;objectnaam$onderwerp;non-descriptor;"";"";""
lorgon;objectnaam$onderwerp;non-descriptor;"";"";""
verf;materiaal;descriptor;http://vocab.getty.edu/aat/;300015029;""
Zulte;geografisch trefwoord$plaats$onderwerp;descriptor;http://vocab.getty.edu/tgn/;7259797;""
schalmhaak;objectnaam;non-descriptor;"";"";""
prenten;objectcategorie$objectnaam$onderwerp;non-descriptor;"";"";""
levensfasen/geboorte;collectie;niet gedefinieerd;"";"";""
steen;materiaal$onderwerp$objectnaam;descriptor;http://vocab.getty.edu/aat/;300011176;""
rekenboek;objectnaam;descriptor;http://vocab.getty.edu/aat/;300257228;Eenvoudige boeken die zijn bedoeld om kleine kinderen, vaak aan de hand van kleurrijke plaatjes, te leren tellen en rekenen.
ring (sieraad);objectnaam;descriptor;http://vocab.getty.edu/aat/;300046012;Kleine ronde banden die om de vinger worden gedragen.
sleutelhanger;onderwerp$objectnaam;descriptor;http://vocab.getty.edu/aat/;300411458;Siervoorwerpen die men aan het oog van een sleutel kan bevestigen en waarmee men ze kan ophangen.
spoorrijtuig;objectnaam;non-descriptor;"";"";""
rijwiel;objectnaam$onderwerp;non-descriptor;"";"";""
Bois-du-Luc;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;4001645;""
mallemolen;objectnaam$onderwerp;non-descriptor;"";"";""
ambacht/houtdraaier;collectie;niet gedefinieerd;"";"";""
stapelblok;objectnaam;non-descriptor;"";"";""
matig;toestand;niet gedefinieerd;"";"";""
oeros;dier;niet gedefinieerd;"";"";""
toverdoos (kinderspeelgoed);objectnaam;non-descriptor;"";"";""
imitatieleer;materiaal;descriptor;http://vocab.getty.edu/aat/;300252783;""
wasmiddel;objectnaam;descriptor;https://www.wikidata.org/entity/;Q334637;Alg. naam voor zepen en andere stoffen die aan water of een andere vloeistof worden toegevoegd om de reinigende werking ervan te verhogen
levensfasen/militie;collectie;niet gedefinieerd;"";"";""
slechtbeitel;objectnaam;non-descriptor;"";"";""
Beaumont;plaats$geografisch trefwoord;niet gedefinieerd;"";"";""
Rome;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7000874;""
lakzegel;objectnaam;niet gedefinieerd;Van Dale;"";Zegel in lak.
zwaluw;onderwerp;descriptor;https://www.wikidata.org/entity/;Q1401371;""
bijzettafeltje;objectnaam;descriptor;http://vocab.getty.edu/aat/;300039998;Kleine tafeltjes die in bij een bank of stoel worden gebruikt.
Budapest;plaats$geografisch trefwoord;non-descriptor;http://vocab.getty.edu/tgn/;7017994;""
polyester;materiaal;descriptor;http://vocab.getty.edu/aat/;300379829;""
circusattributen;objectcategorie;niet gedefinieerd;"";"";""
beker op voet;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300195548;Hoge bekers die bestaan uit een cuppa in verschillende vormen, die op een stam staan en meestal een deksel hebben. Worden vaak gebruikt voor ceremoniële doeleinden.
bruyèrehout;materiaal;niet gedefinieerd;"";"";""
drinkfles;objectnaam;non-descriptor;"";"";""
karton;materiaal;descriptor;http://vocab.getty.edu/aat/;300014224;""
hebzuchtige;onderwerp;niet gedefinieerd;"";"";""
reparatie;behandeling;niet gedefinieerd;"";"";""
producent;rol;descriptor;https://www.wikidata.org/entity/;Q47541952;""
nachtmuts;objectnaam;non-descriptor;"";"";""
verantwoordelijke uitgever;rol;niet gedefinieerd;"";"";""
zandmannetje;"";niet gedefinieerd;"";"";""
inbranding;soort opschrift;niet gedefinieerd;"";"";""
Nairobi;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7001116;""
rubber;materiaal;descriptor;http://vocab.getty.edu/aat/;300012941;""
etsen;techniek;descriptor;http://vocab.getty.edu/aat/;300053241;""
handel/drogist;collectie;niet gedefinieerd;"";"";""
Baume-les-dames;plaats;descriptor;http://vocab.getty.edu/tgn/;1032032;""
Sint-Niklaas;plaats$geografisch trefwoord$onderwerp;descriptor;http://vocab.getty.edu/tgn/;7007989;""
gips;materiaal;descriptor;http://vocab.getty.edu/aat/;300011099;""
ambacht/kuiper;collectie;niet gedefinieerd;"";"";""
boszaag;objectnaam;non-descriptor;"";"";""
kapel;onderwerp$objectnaam;descriptor;http://vocab.getty.edu/aat/;300004590;Kleine ruimten voor de eredienst, vrijstaand of in kerken of kloosters of andere gebouwen.
loopstoel;onderwerp$objectnaam;descriptor;https://www.wikidata.org/entity/;Q1529372;Loophek.
Calisese;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7033676;""
fluweel;materiaal;descriptor;http://vocab.getty.edu/aat/;300133711;""
Brazilië;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1000047;""
schuier;objectnaam;non-descriptor;"";"";""
strik;objectnaam;descriptor;http://vocab.getty.edu/aat/;300411698;Ornament bestaande uit twee lussen en twee uiteinden gescheiden door een knoop. Gemaakt van touw, lint of textiel. Gebruikt als decoratie en/of sluiting op kleding, kledingaccessoires of in het haar.
muziekinstrumenten;objectcategorie$onderwerp$objectnaam;non-descriptor;"";"";""
handel/barbier;collectie;niet gedefinieerd;"";"";""
Peruwelz;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1026668;""
Menton;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7009337;""
spiegelglas;materiaal;descriptor;http://vocab.getty.edu/aat/;300010822;""
glasnegatief;objectnaam;descriptor;https://www.wikidata.org/entity/;Q85621807;Matglazen plaat die diende om lichtbeelden op vast te leggen.
goed;toestand;niet gedefinieerd;"";"";""
Trossingen, Württemberg;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1041458;""
eend;dier$onderwerp$objectnaam;descriptor;http://vocab.getty.edu/aat/;300250047;In talrijke soorten onderscheiden familie van de eendachtige vogels 
lappenpop;objectnaam;descriptor;http://vocab.getty.edu/aat/;300226168;Te gebruik voor poppen met lichamen van stof of stof opgevuld metverschillend materiaal, bijvoorbeeld vodden, zaagsel of papyrusblader
Zichem;geografisch trefwoord;niet gedefinieerd;"";"";""
lengte;afmeting;descriptor;http://vocab.getty.edu/aat/;300055645;""
buigijzer;objectnaam;non-descriptor;"";"";""
krispelhout;objectnaam;niet gedefinieerd;MOT (suggestie);"";Instrument om leer soepel te maken.
boog;objectnaam$onderwerp;descriptor;https://www.wikidata.org/entity/;Q46311;Schiettuig bestaande uit een stok of reep van taai hout, riet, staal of andere veerkrachtige stof, die kan worden gebogen door een gespannen pees of koord.
single;objectnaam;niet gedefinieerd;AAT;"";Grammofoonplaten met aan beide zijden slechts één nummer.
beeldhouwwerken;objectcategorie$collectie$objectnaam$onderwerp;non-descriptor;http://vocab.getty.edu/aat/;300047090;""
daim;materiaal;descriptor;http://vocab.getty.edu/aat/;300011846;""
zetbok;objectnaam;niet gedefinieerd;Van Dale$MOVE;"";Werktafel van de letterzetter waarin letterkasten (onderaan) en losse letters (bovenaan, in vakjes) worden opgeborgen. (TWG)
breedte;afmeting;descriptor;http://vocab.getty.edu/aat/;300055647;""
Maassluis;plaats;descriptor;http://vocab.getty.edu/tgn/;7006793;""
schulpboor;objectnaam;non-descriptor;"";"";""
fotolijst;objectnaam;descriptor;http://vocab.getty.edu/aat/;300266017;"Verwijst naar lijsten die zijn gemaakt om foto's in standaardformaten (in Nederland: 9 x 13 cm, 10 x 15 cm, 13 x 18 cm enz.) in te lijsten. Ze worden doorgaans voorzien van glas(platen) ter bescherming van de foto en een uitklapbare staander aan de achterkant, zodat de lijst rechtop op een tafel, plank of ander vlak kan worden gezet. (AAT)
Rand of samenstel van randen van hout of een andere stof in geprofileerde vorm om een foto, kaart enz. in te vatten."
buitenpasser;objectnaam;niet gedefinieerd;"";"";""
glazuren;techniek;descriptor;http://vocab.getty.edu/aat/;300195111;""
koolijzer;objectnaam;non-descriptor;Nederland Strijkijzermuseum -Noordbroek;"";""
levensfasen/dood;collectie;niet gedefinieerd;"";"";""
Baasrode;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1026308;""
haarspeld;objectnaam;descriptor;http://vocab.getty.edu/aat/;300211601;"U-vormige spelden die worden gebruikt als sieraad en om haar of hoofddeksels op de plaats te houden; ze zijn gemaakt van metaal- of plasticdraad, schildpad of soortgelijke materialen en kunnen ook decoratief zijn. (aat, met kleine aanpassing naar Van Dale)
U-vormige spelden die worden gebruikt om haar of hoofddeksels op de plaats te houden; ze zijn gemaakt van metaal- of plasticdraad, schildpad of soortgelijke materialen en kunnen ook decoratief zijn. (AAT)"
Braine-l'Alleud;geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1026350;""
parasol;objectnaam;descriptor;http://vocab.getty.edu/aat/;300046218;Kleine paraplu's die als zonnescherm worden gebruikt of gewoon als modieus accessoire worden meegedragen.
pijl;objectnaam;descriptor;http://vocab.getty.edu/aat/;300036976;Dunne, lichte staaf van hout of een andere stof, in een scherpe punt eindigend, bestemd om met een boog naar een doel geschoten te worden.
porselein;materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300010662;Verwijst naar een soort keramiek van vuurbestendige witte klei, of 'kaolien', en een veldspaathoudende steen die tijdens het bakken reageert. De klei zorgt ervoor dat het voorwerp de vorm behoudt, terwijl de steen wordt omgezet in natuurlijk glas. In China verwijst dit naar alle soorten aardewerk die zo hard worden gebakken dat er een rinkelend geluid ontstaat als het kapot wordt geslagen. In Europa verwijst het alleen naar hardgebakken doorschijnende keramiek. 
zakheiligdom;objectnaam;niet gedefinieerd;MOVE$HVA;"";Kleine metalen beeldjes in koperen of ijzeren hulsjes, vaak verkocht op bedevaartplaatsen. Moderne variant van kleine pijpaarden beeldjes.
eboniet;materiaal;niet gedefinieerd;"";"";""
rommelpot;objectnaam$onderwerp;niet gedefinieerd;Van Dale;"";Pot die met een (varkens)blaas is overspannen, waar men in het midden een rietje doorheen gestoken heeft dat men vochtig maakt en op en neer beweegt, wat de blaas in trilling brengt.
ivoor;materiaal;descriptor;http://vocab.getty.edu/aat/;300011857;""
schuttersporselein;objectnaam$objectcategorie;niet gedefinieerd;HvA;"";In de 19de eeuw kenden schuttersverenigingen een grote bloei. Porselein werd als prijs uitgereikt.
terracotta;materiaal;descriptor;http://vocab.getty.edu/aat/;300010669;""
groentenhakmes;objectnaam;non-descriptor;"";"";""
slecht;toestand;niet gedefinieerd;"";"";""
tricot;materiaal;descriptor;http://vocab.getty.edu/aat/;300427851;""
Marcinelle;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7251628;""
japon;objectnaam;non-descriptor;"";"";""
halssieraad;objectnaam;niet gedefinieerd;Van Dale;"";Keten, al dan niet van edel metaal, als sierraad om de hals gedragen.
drijven;techniek;descriptor;http://vocab.getty.edu/aat/;300054016;""
kunststof;materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300014570;""
terrine (kom voor opdienen);objectnaam;descriptor;http://vocab.getty.edu/aat/;300199769;"Diepe schalen variërend van maat en vorm, meestal met deksel; worden gebruikt voor het serveren van soep, saus, stoofschotels of andere spijzen."
inlegzool;objectnaam;niet gedefinieerd;Van Dale;"";Losse zool om in het schoeisel te leggen.
tapkraan;objectnaam;niet gedefinieerd;"";"";""
Beervelde;plaats$geografisch trefwoord$onderwerp;descriptor;http://vocab.getty.edu/tgn/;7248129;""
bed;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300038697;Deze benaming verwijst naar het beddengoed (matrassen en bedekking), naar het ledikant of naar beide.
kaarsengieter;beroep;niet gedefinieerd;"";"";""
restaurant;onderwerp;descriptor;http://vocab.getty.edu/aat/;300005182;""
aluminium;materiaal;descriptor;http://vocab.getty.edu/aat/;300011015;""
