term;term.soort;term.status;bron;term.nummer;scope_note
Lochristi;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026570;""
Sint-Baafsabdij;trefwoord;niet gedefinieerd;"";"";""
Osnabrück;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7005252;""
Esslingen am Neckar;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;8713712;""
Argentinië;geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;7006477;""
Vakbonden;trefwoord$motief$objectnaam;non-descriptor;"";"";""
filmapparatuur;trefwoord$collectie$objectcategorie$onderwerp;descriptor;"";"";""
Goslar;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005630;""
Lübeck;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012327;""
Groothertogdom Luxemburg;geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;7003514;""
Halewijn;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1033401;""
afzuigfles;objectnaam;niet gedefinieerd;"";"";""
handwerk;trefwoord;descriptor;https://www.wikidata.org/entity/;Q2207288;""
televisies;trefwoord;non-descriptor;"";"";""
natuurvezel;onderwerp$materiaal;descriptor;http://vocab.getty.edu/aat/;300014027;""
Peru;geografisch trefwoord$motief$land$plaats;descriptor;http://vocab.getty.edu/tgn/;1000056;""
Lopende band;trefwoord;non-descriptor;http://vocab.getty.edu/aat/;300024559;Motorisch aangedreven machines, zoals banden zonder einde of een reeks rollers, die zorgen voor een doorlopend vervoer van materiaal. 
bandwerk;onderwerp$trefwoord;descriptor;"";"";""
water;trefwoord$materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300011772$Q283;""
postkaart;objectnaam$motief;non-descriptor;http://vocab.getty.edu/aat/;300026821;""
drinkwater;trefwoord;descriptor;http://vocab.getty.edu/aat/;300011778;Water dat veilig of geschikt is om te drinken.
bestuur;trefwoord;descriptor;https://www.wikidata.org/entity/;Q897395;""
repel;objectnaam;niet gedefinieerd;"";"";""
Nantes;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008482;""
watten;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1601749;""
Schoonaarde;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7253983;""
goed;toestand;niet gedefinieerd;"";"";""
kruiwagen;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300212906$Q175334;""
Dublin;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7001306;""
Accessoires;trefwoord;non-descriptor;"";"";""
Toebehoren;trefwoord;niet gedefinieerd;"";"";""
raffia;trefwoord$materiaal;descriptor;http://vocab.getty.edu/aat/;300014051;""
uittreksel;materiaalsoort$objectnaam;descriptor;http://vocab.getty.edu/aat/;300202489;""
afstootboom;objectnaam;niet gedefinieerd;"";"";""
slip;objectnaam;descriptor;http://vocab.getty.edu/aat/;300210539;""
gietijzer;materiaal$motief$trefwoord;descriptor;http://vocab.getty.edu/aat/;300011004;""
Schrijnwerk;trefwoord;descriptor;https://www.wikidata.org/entity/;Q29585458;""
pithouder;objectnaam;niet gedefinieerd;"";"";""
hout;materiaal$motief$collectie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300011914;""
gastank;objectnaam;descriptor;http://vocab.getty.edu/aat/;300101256;""
Bologna;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004847;""
tuinbouw;trefwoord$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300054512;Het intensief en extensief verbouwen van tuinplanten, waaronder vruchten, groenten, bloementeelt en landschaps- en kwekerijgewassen. 
Maryland;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007516;""
pluimvee;trefwoord;descriptor;https://www.wikidata.org/entity/;Q178559;""
fornuizen;"";descriptor;http://vocab.getty.edu/aat/;300411465;""
boenwas;materiaal$objectnaam;descriptor;https://www.wikidata.org/entity/;Q4851728;was met terpentijn vermengd, om meubels te boenen
boekenlegger;trefwoord$objectnaam;descriptor;http://vocab.getty.edu/aat/;300235760;Voorwerpen die tussen de bladzijden van een boek worden gelegd om aan te geven waar men was. Te onderscheiden van 'registers (boekonderdelen)' die aan boeken vastzitten. 
Barge;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q16518;""
Ateliers de constructions electriques de Charleroi;trefwoord;non-descriptor;"";"";""
zout;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300183627;""
quilts;trefwoord;descriptor;http://vocab.getty.edu/aat/;300197990;""
Philippine;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7268540;""
Oudergem (Brussel);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026300;""
Etterbeek (Brussel);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008814;""
Ukkel (Brussel);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008815;""
plaaster;trefwoord$materiaal$objectnaam;non-descriptor;"";"";""
kookgerei;trefwoord$objectcategorie$associatie$onderwerp$objectnaam;non-descriptor;"";"";""
Expo 58;trefwoord$gebeurtenis;descriptor;https://www.wikidata.org/entity/;Q74035;""
badmuts;objectnaam;descriptor;http://vocab.getty.edu/aat/;300046095;""
Ethiek;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300054290;""
jeugd;trefwoord;descriptor;http://vocab.getty.edu/aat/;300025944;""
slecht;toestand;niet gedefinieerd;"";"";""
Rotterdam;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7006792;""
Steyr;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7003303;""
openbaar vervoer;trefwoord$onderwerp;descriptor;http://vocab.getty.edu/aat/;300155835;""
handschriften;trefwoord;non-descriptor;"";"";""
sanitaire voorzieningen;trefwoord;niet gedefinieerd;"";"";""
Champagne;trefwoord;descriptor;http://vocab.getty.edu/aat/;300417191;""
glasraam;objectnaam;descriptor;http://vocab.getty.edu/aat/;300121827;""
vluchtelingen;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300025935;""
filmrol;objectnaam;descriptor;http://vocab.getty.edu/aat/;300014638;""
Smart textiles;trefwoord;non-descriptor;"";"";""
Centexbel;trefwoord;descriptor;https://www.wikidata.org/entity/;Q30284559;""
Waterloo;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008022;""
tuinstad;trefwoord;descriptor;http://vocab.getty.edu/aat/;300008381;""
wasserij;objectnaam$onderwerp$collectie;descriptor;http://vocab.getty.edu/aat/;300005153;Commerciële gelegenheden waar wordt gewassen en gestreken. 
Vichy;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7009724;""
Woningen;trefwoord;non-descriptor;"";"";""
degelpers;objectnaam$associatie$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300234682;Drukpersen waarin het papier en het drukvlak beide plat liggen en met elkaar in contact komen door als een oesterschelp te openen en sluiten.
jaren 1980;trefwoord$periode$associatie;non-descriptor;"";"";""
jaren 1970;trefwoord$periode;non-descriptor;"";"";""
Japans;taal;descriptor;http://vocab.getty.edu/aat/;300388486;""
Terneuzen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1048147;""
gasindustrie;trefwoord$onderwerp$motief;descriptor;https://www.wikidata.org/entity/;Q21328659;""
mensen;trefwoord;descriptor;https://www.wikidata.org/entity/;Q5;""
Georgië;geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;7006653;""
Servië;geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;7006669;""
navigatie;trefwoord;descriptor;https://www.wikidata.org/entity/;Q102066;""
Guldensporenslag;trefwoord$onderwerp;descriptor;https://www.wikidata.org/entity/;Q44732;""
klimaatbeheersing;trefwoord;descriptor;https://www.wikidata.org/entity/;Q4448603;""
Eieren;trefwoord;niet gedefinieerd;"";"";""
Frisdranken;trefwoord;descriptor;http://vocab.getty.edu/aat/;300389821;Drinkbare vloeistoffen, meestal met uitzondering van water. 
zonne-energie;trefwoord;descriptor;http://vocab.getty.edu/aat/;300055225;Het gebruik van de energie van de zon voor verwarming of om elektriciteit op te wekken.
Gevaarlijke stoffen;trefwoord;non-descriptor;"";"";""
Giftige stoffen;trefwoord;non-descriptor;"";"";""
Gif;trefwoord;non-descriptor;"";"";""
Vergif;trefwoord;non-descriptor;"";"";""
Schadelijke stoffen;trefwoord;descriptor;http://vocab.getty.edu/aat/;300015372;""
ploeg;motief$objectnaam;descriptor;http://vocab.getty.edu/aat/;300233317;""
Aarlen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007857;""
sapcentrifuge;objectnaam;niet gedefinieerd;"";"";""
olieverf;materiaal;descriptor;http://vocab.getty.edu/aat/;300015050;""
Maldegem;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026585;""
Volksgebruiken;trefwoord$motief;non-descriptor;"";"";""
reproductie;objectnaam$objectcategorie;descriptor;http://vocab.getty.edu/aat/;300015643;"Wordt gebruikt voor kopieën van kunstafbeeldingen, kunstobjecten of andere gewaardeerde afbeeldingen of objecten, die zijn gemaakt zonder de bedoeling te misleiden; heeft betrekking op kunstafbeeldingen, ook fotografische reproducties."
paleontologie;trefwoord;descriptor;http://vocab.getty.edu/aat/;300054555;""
stapelhuizen;trefwoord;non-descriptor;"";"";""
oppervlaktemeter;objectnaam;niet gedefinieerd;"";"";""
Sint-Lievens-Houtem;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7252879;""
Noorwegen;geografisch trefwoord$plaats$land;descriptor;http://vocab.getty.edu/tgn/;1000088;""
brandstof;trefwoord$objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300015139;""
Siegburg;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005104;""
Tafellakens;trefwoord;non-descriptor;"";"";""
Kussens;trefwoord;non-descriptor;"";"";""
Servetten;trefwoord;non-descriptor;"";"";""
industrialisatie;trefwoord$motief;descriptor;http://vocab.getty.edu/aat/;300054333;""
Flora;trefwoord;non-descriptor;"";"";""
barbierama;trefwoord$objectcategorie;non-descriptor;"";"";""
Jaren 20 (1920-1929);trefwoord$periode;non-descriptor;"";"";""
zeefdruk;trefwoord$objectnaam$onderwerp$techniek;descriptor;http://vocab.getty.edu/aat/;300178688;Prenten die alleen met behulp van het zeefdrukprocedé zijn gemaakt, handmatig of fotografisch. Het drukken vindt plaats door inkt of verf door een zeef te duwen waarin een ontwerp is aangebracht door bepaalde gedeelten af te sluiten. 
fruitpers;objectnaam;non-descriptor;"";"";""
Sint-Truiden;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008735;""
Alveringem;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7245481;""
Borgloon;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/aat/;1026346;""
Damme;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007094;""
vliegenvanger;objectnaam;descriptor;http://vocab.getty.edu/aat/;300395623;""
boter;trefwoord;descriptor;http://vocab.getty.edu/aat/;300389819;"De vettige substantie die ontstaat door room te karnen; wordt hoofdzakelijk gebruikt bij het koken en om op brood te smeren. "
Aarsele;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7245179;""
beeldhouwer;rol$beroep$onderwerp;descriptor;http://vocab.getty.edu/aat/$https://www.wikidata.org/entity/;300025181$Q1281618;""
autowielsleutel;objectnaam;descriptor;"";"";""
Poperinge;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/aat/;7007975;""
Plauen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1037492;""
teflon;trefwoord$materiaal;descriptor;http://vocab.getty.edu/aat/;300380055;""
conserven;trefwoord;descriptor;https://www.wikidata.org/entity/;Q2682038;""
snijplank;motief$objectnaam;descriptor;http://vocab.getty.edu/aat/;300215863;""
roken;trefwoord$onderwerp;descriptor;https://www.wikidata.org/entity/;Q662860;""
De Leeuw;trefwoord;non-descriptor;"";"";""
Delhaize;trefwoord;descriptor;https://www.wikidata.org/entity/;Q1184173;""
stempelhanger;objectnaam;descriptor;"";"";""
Witgoed;trefwoord;non-descriptor;"";"";""
Marcinelle;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7251628;""
Europa;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1000003;""
haken;trefwoord$onderwerp;niet gedefinieerd;"";"";""
rameh;trefwoord$materiaal$objectnaam;non-descriptor;"";"";""
henequen;trefwoord$materiaal;non-descriptor;http://vocab.getty.edu/aat/;300014037;""
hennep;trefwoord$materiaal;descriptor;http://vocab.getty.edu/aat/;300014043;""
denim;trefwoord$materiaal$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300014068;""
Chambord;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7017232;""
juk;objectnaam;niet gedefinieerd;"";"";""
Beervelde (Lochristi);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7248129;""
Zeveneken;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7258445;""
Universiteit Gent;doelgroep;descriptor;https://www.wikidata.org/entity/;Q1137665;""
Inkomen;trefwoord;non-descriptor;"";"";""
Union des fabriques belges de textiles artificiels;motief$trefwoord;non-descriptor;"";"";""
Fabriques belges de textiles artificiels;motief$trefwoord;non-descriptor;"";"";""
Ford ( auto's );trefwoord$motief;descriptor;"";"";""
Forensenverkeer;trefwoord;non-descriptor;"";"";""
Pendelaars;trefwoord;non-descriptor;"";"";""
Pendelen;trefwoord;non-descriptor;"";"";""
woon-werkverkeer;trefwoord$onderwerp;descriptor;https://www.wikidata.org/entity/;Q48442;""
telefoonboeken;trefwoord;descriptor;http://vocab.getty.edu/aat/;300026281;Gidsen met namen van mensen met een telefoonaansluiting en de bijbehorende adressen en telefoonnummers. 
ruil;verwervingsmethode;niet gedefinieerd;"";"";""
Spiegels;trefwoord$objectnaam$inscriptie positie;non-descriptor;"";"";""
jaren 1940;trefwoord$periode;non-descriptor;"";"";""
drukmeter;objectnaam$motief;descriptor;http://vocab.getty.edu/aat/;300200140;Instrumenten voor het meten van druk, meestal van gassen of vloeistoffen.
Dilsen-Stokkem;plaats$geografisch trefwoord;descriptor;https://www.wikidata.org/entity/;Q581246;""
Strombeek-Bever;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7252964;""
wielen;trefwoord$inscriptie positie;descriptor;http://vocab.getty.edu/aat/;300024976;""
Paraplu's;trefwoord;non-descriptor;"";"";""
kauwgom;trefwoord$materiaal$objectnaam;descriptor;https://www.wikidata.org/entity/;Q130878;""
leisteen;trefwoord$materiaal$objectnaam;descriptor;http://vocab.getty.edu/aat/;300011646;""
Seefeld;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026081;""
Odense;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7003411;""
Ronse;plaats$geografisch trefwoord$motief$onderwerp;descriptor;http://vocab.getty.edu/tgn/;7007980;""
Euskirchen;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;1039038;""
Wroclaw;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7007601;""
merken;trefwoord;niet gedefinieerd;"";"";""
zuiverhekel;objectnaam;niet gedefinieerd;"";"";""
Rawalpindi;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1083736;""
Detailhandel;trefwoord$motief;non-descriptor;"";"";""
kleinhandel;trefwoord$motief;descriptor;https://www.wikidata.org/entity/;Q126793;""
vlashekel;objectnaam;niet gedefinieerd;"";"";""
Kruiwagens;motief$trefwoord;non-descriptor;"";"";""
Koeien;trefwoord;non-descriptor;"";"";""
Vee;trefwoord;non-descriptor;"";"";""
Frankfurt am Main;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005293;""
speelgoed;trefwoord$objectcategorie$motief$objectnaam$collectie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300211037;Fysieke objecten zonder praktisch doeleinde die bedacht zijn om kinderen of huisdieren te vermaken of om als verzamelobject voor volwassenen te dienen. Speelgoed bestaat doorgaans uit miniatuurversies van werkelijke wezens of objecten die te gebruiken zijn in fantasie- of imitatiespelletjes. Ook artikelen die bij spelletjes worden gebruikt, kunnen speelgoed worden genoemd. Het allereerste speelgoed bestond onder andere uit poppen en ballen. 
papierindustrie;trefwoord$onderwerp;descriptor;https://www.wikidata.org/entity/;Q2283886;""
korset;objectnaam;descriptor;http://vocab.getty.edu/aat/;300210582;""
geneesmiddel;objectnaam;descriptor;http://vocab.getty.edu/aat/;300404880;""
tafelservies;trefwoord;non-descriptor;"";"";""
manuscripten;trefwoord;descriptor;http://vocab.getty.edu/aat/;300028569;""
meten;trefwoord;descriptor;http://vocab.getty.edu/aat/;300053578;""
textieltechnieken;trefwoord;niet gedefinieerd;"";"";""
urbanisatie;trefwoord;descriptor;http://vocab.getty.edu/aat/;300055460;verstedelijking, concentratie van het leven in steden
Delmenhorst;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7005284;""
Kluisbergen;geografisch trefwoord$plaats;descriptor;https://www.wikidata.org/entity/;Q840517;""
fles;objectnaam$motief$inscriptie positie$onderwerp;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300045627$Q80228;""
vruchtenpers;objectnaam;descriptor;http://vocab.getty.edu/aat/;300207687;Persen met een harde en puntige kegel waarop de helft van een stuk fruit wordt gedrukt om het sap eruit te krijgen. 
Edingen;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7008834;""
Enkhuizen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007064;""
Vilvoorde;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008817;""
vis;objectnaam$motief;descriptor;http://vocab.getty.edu/aat/;300266085;""
torsiemeter;objectnaam;descriptor;http://vocab.getty.edu/aat/;300204992;""
selfactor;trefwoord$objectnaam$motief;descriptor;https://www.wikidata.org/entity/;Q522732;""
spijkers;trefwoord;non-descriptor;"";"";""
nagels;trefwoord;niet gedefinieerd;"";"";""
brillenkoker;objectnaam;descriptor;http://vocab.getty.edu/aat/;300225933;Doosjes van verschillende vorm en materiaal die voornamelijk zijn bedoeld voor het bewaren van een bril. Ze kunnen vrij decoratief zijn en hangen soms aan een ketting, zodat ze op de persoon zelf kunnen worden gedragen. 
pers;trefwoord$objectnaam$motief;descriptor;"";"";""
Velzeke;plaats$geografisch trefwoord;descriptor;http://vocab.getty.edu/tgn/;7008821;""
stadsgezichten;motief$onderwerp;non-descriptor;"";"";""
weefgetouw;motief$objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300247546;Raamwerken of machines die worden gebruikt om twee of meer reeksen draden of garens onder een rechte hoek door elkaar heen te weven. 
huisraad;trefwoord$objectcategorie$onderwerp$collectie;descriptor;https://www.wikidata.org/entity/;Q369594;""
prentkaart;objectnaam$motief;descriptor;http://vocab.getty.edu/aat/;300026819;Briefkaarten met een picturale afbeelding aan een kant. 
borduurwerk;trefwoord;descriptor;http://vocab.getty.edu/aat/;300264024;"Verwijst naar werken die zich kenmerken door een patroon of ontwerp dat is uitgevoerd in met draad of fijn metaaldraad gemaakte steken. De patronen worden gewoonlijk uitgevoerd op stof, maar ook leer, papier of andere media kunnen worden gebruikt; de werken kunnen bedoeld zijn om ingelijst te worden of om kleding, bedtextiel, meubelbekleding, kussens, altaarkleden, ceremoniële voorhangen of andere zaken te versieren."
Deurne (Antwerpen);geografisch trefwoord$motief$plaats;descriptor;http://vocab.getty.edu/tgn/;1026393;""
breedte;afmeting;descriptor;https://www.wikidata.org/entity/;Q35059;""
fabrikant;rol$beroep;descriptor;http://vocab.getty.edu/aat/;300025230;""
stofzuigen;behandeling;niet gedefinieerd;"";"";""
midden 19de eeuw;periode;descriptor;"";"";""
laken;trefwoord$motief$objectnaam$objectnaam;non-descriptor;"";"";""
Engels;taal;descriptor;http://vocab.getty.edu/aat/;300388277;""
bh;objectnaam;descriptor;http://vocab.getty.edu/aat/;300210538;""
waszak;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1902308;""
filmcamera;objectnaam;descriptor;http://vocab.getty.edu/aat/;300022644;Camera's geschikt voor het maken van een snelle belichting van bewegende voorwerpen op een filmstrook. 
viewer;objectnaam;descriptor;"";"";""
viewmaster;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://vocab.getty.edu/aat/;300435394$300266496;Een stereoscopisch apparaat met een schijf of rol met dia's waarop twee beelden staan, één voor elk oog, waardoor een driedimensionaal effect ontstaat. In 1938 uitgevonden door William Gruber en door hem bedoeld als een educatief instrument. Sindsdien wordt het onder de merknaam 'View-Master' verkocht als speelgoed voor kinderen.
scheermes;objectnaam$motief$onderwerp;descriptor;http://vocab.getty.edu/aat/;300236438;Scherpe voorwerpen die met de hand worden bediend of die op elektriciteit werken en speciaal worden gebruikt voor het scheren van het gezicht en benen of het bijknippen van haar. 
doorslag;objectnaam;descriptor;http://vocab.getty.edu/aat/;300266791;Kopieën van documenten die tegelijk met het originele manuscript of de getypte tekst worden gemaakt door middel van een tussenliggend stuk papier dat is bedekt met koolstof.
luidspreker;objectnaam;descriptor;http://vocab.getty.edu/aat/;300250653;Toestel dat langs elektronische weg versterkt geluid verspreidt.
Textielafdeling;trefwoord;niet gedefinieerd;"";"";""
telegrafie;trefwoord$motief$objectcategorie$onderwerp;descriptor;https://www.wikidata.org/entity/;Q721587;""
Postkaart, uitgegeven door Uitgeverij Van Melle, Burgstraat, Gent.;soort opschrift;kandidaat;"";"";""
Carte Postale;soort opschrift;niet gedefinieerd;"";"";""
thuiswever;"";niet gedefinieerd;"";"";""
Diegem;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7030250;""
cassetterecorder;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300411344$Q510176;""
mengtafel;objectnaam;descriptor;http://vocab.getty.edu/aat/;300039741;Tafels met een marmeren tafelblad en een opbouw met laden voor wijnkannen en een tambourdeksel dat omlaag kan rollen om het blad te bedekken als de tafel niet in gebruik is. 
diaprojector;objectnaam;descriptor;http://vocab.getty.edu/aat/;300311986;""
Adana;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/aat/;7002315;""
SA de Waerschoot;trefwoord;niet gedefinieerd;"";"";""
Arkadja;geografisch trefwoord$plaats;niet gedefinieerd;"";"";""
videorecorder;objectnaam;descriptor;http://vocab.getty.edu/aat/;300265808;Apparaten die (televisie)beelden opnemen op en afspelen van videocassettes. Prototypen van videocassetterecorders werden ontworpen in de late jaren 60 van de 20ste eeuw. In de jaren 70 waren ze goedkoop genoeg geworden voor thuisgebruik door consumenten. 
projector;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300233202;Apparaten die een afbeelding op een oppervlak projecteren door het overbrengen van licht door een doorzichtige dia of film, of door licht van een ondoorzichtig object te laten weerkaatsen. 
wapenvergunning, automatisch pistool;objectnaam;descriptor;"";"";""
demonstratiekarton;objectnaam;kandidaat;"";"";""
Dottenijs;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7247049;""
Frankenberg;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7193967;""
Gaglianico;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7024908;""
Erlangen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004332;""
Huddersfield;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7010462;""
Muttenz;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007424;""
Schweinfurt;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004336;""
Waregem;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026794;""
Montlingen;geografisch trefwoord$plaats;descriptor;https://www.wikidata.org/entity/;Q1946364;""
Tübingen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004426;""
video-microscope;objectnaam$onderwerp;descriptor;http://vocab.getty.edu/aat/;300444116;""
techno-look;"";niet gedefinieerd;"";"";""
diverse herstellingen aan gebouwen;"";kandidaat;"";"";""
weefsel;objectnaam;descriptor;http://vocab.getty.edu/aat/;300411341;""
olien;"";kandidaat;"";"";""
kwaliteit;"";descriptor;http://vocab.getty.edu/aat/;300179462;""
Monticello d'Alba;geografisch trefwoord$plaats;descriptor;https://www.wikidata.org/entity/;Q20226;""
Mirfield;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7010446;""
reinigingsmachine;"";niet gedefinieerd;"";"";""
textiel opleidingen;"";niet gedefinieerd;"";"";""
huismijt;"";descriptor;https://www.wikidata.org/entity/;Q29938;""
Miehlen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7129549;""
Münsinger;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7133567;""
transporttoestel;"";niet gedefinieerd;"";"";""
weefmachine;onderwerp;descriptor;https://www.wikidata.org/entity/;Q1353185;""
projectiescherm;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1152429;""
episcoop;objectnaam;niet gedefinieerd;"";"";""
reinigingstape;objectnaam;descriptor;"";"";""
Kreuznach;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012371;""
worststopmachine;objectnaam;niet gedefinieerd;"";"";""
telefoon-adapter;objectnaam;descriptor;"";"";""
stopcontact;objectnaam$inscriptie positie$onderwerp;descriptor;http://vocab.getty.edu/aat/;300050728;Deel van elektrische contactdozen, waar draagbare uitrustingen of apparaten kunnen worden aangesloten. 
dictafoon;objectnaam$onderwerp;descriptor;https://www.wikidata.org/entity/;Q956263;""
diakijker;objectnaam;descriptor;http://vocab.getty.edu/aat/;300411362;Optisch toestelletje om dia's en afzonderlijke filmbeelden te bekijken.
semafoor;objectnaam;descriptor;http://vocab.getty.edu/aat/;300411475;Een toestel om informatie door te geven door middel van visuele signalen zoals vlaggen of lampen waarvan de positie gewijzigd kan worden. 
Binnenschippers;trefwoord;descriptor;"";"";""
Roaste Wasser;trefwoord;kandidaat;"";"";""
koffiebranderij;motief$objectnaam$onderwerp;descriptor;https://www.wikidata.org/entity/;Q2363097;""
Tirol;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7003029;""
Dürlach;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7013206;""
embleem;soort opschrift;descriptor;http://vocab.getty.edu/aat/;300123036;""
Kaiserslautern;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7012955;""
Bielefeld;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005978;""
midden 20ste eeuw;periode;descriptor;"";"";""
Bridgeport (Connecticut);geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7013453;""
België;land$geografisch trefwoord$motief$plaats;descriptor;http://vocab.getty.edu/tgn/;1000063;""
20ste eeuw;periode$onderwerp;descriptor;http://vocab.getty.edu/aat/$https://id.erfgoed.net/thesauri/dateringen/;300404514$20;Eeuw in de proleptische gregoriaanse kalender, van het jaar 1900 tot en met 1999 (of 1901 tot en met 2000). 
